时间,经度,纬度,GPS状态
14:16:22,30.501654348333332,114.42671309833334,4
14:16:23,30.501658721666665,114.42669301833334,4
14:16:24,30.5016615,114.42667082666667,4
14:16:25,30.501663336666667,114.42664693333333,4
14:16:26,30.50166496,114.42662287833333,4
14:16:27,30.501666426666667,114.42659855833334,4
14:16:28,30.501668538333334,114.4265739,4
14:16:29,30.5016712,114.4265495,4
14:16:30,30.501674503333334,114.426523345,4
14:16:31,30.501676211666666,114.42649473166666,4
14:16:32,30.50167856,114.42646621,4
14:16:33,30.501681493333333,114.42643862666667,4
14:16:34,30.501681696666665,114.42641146333334,4
14:16:35,30.501681073333334,114.42638407,4
14:16:36,30.501680173333334,114.42635633,4
14:16:37,30.501681873333332,114.426327625,4
14:16:38,30.501684768333334,114.42629948833333,4
14:16:39,30.50168766,114.426271705,4
14:16:40,30.501689343333332,114.42624475166667,4
14:16:41,30.501688956666666,114.42621856,4
14:16:42,30.501685443333333,114.42619304833333,4
14:16:43,30.501678483333333,114.42616853166666,4
14:16:44,30.501671553333335,114.42614076333334,4
14:16:45,30.501668326666667,114.42610982666666,4
14:16:46,30.501666645,114.42607882166666,4
14:16:47,30.50166656,114.42604678333333,4
14:16:48,30.50166778,114.426011945,4
14:16:49,30.501669948333333,114.42597484,4
14:16:50,30.501672411666668,114.42593686833334,4
14:16:51,30.501673275,114.42589805333333,4
14:16:52,30.501674828333332,114.42585769833333,4
14:16:53,30.501677793333332,114.42581602833333,4
14:16:54,30.501682628333334,114.42577268,4
14:16:55,30.501688411666667,114.425728,4
14:16:56,30.50169332833333,114.42568295333334,4
14:16:57,30.501697385,114.42563795166667,4
14:16:58,30.501700268333334,114.42559382166667,4
14:16:59,30.501702931666667,114.42555158833333,4
14:17:0,30.501702073333334,114.42551254166666,4
14:17:1,30.501692376666668,114.42547945833333,4
14:17:2,30.50167302,114.42545712,4
14:17:3,30.501645645,114.42544503333333,4
14:17:4,30.501613741666667,114.425435675,4
14:17:5,30.501580975,114.42542070833333,4
14:17:6,30.50154381833333,114.42540346666667,4
14:17:7,30.501505466666668,114.42538250166666,4
14:17:8,30.50146729,114.425360235,4
14:17:9,30.501428211666667,114.42534102666667,4
14:17:10,30.501385183333333,114.42532994833333,4
14:17:11,30.501340488333334,114.42532356,4
14:17:12,30.5012952,114.42531890333333,4
14:17:13,30.501250088333332,114.425314645,4
14:17:14,30.501204815,114.425311035,4
14:17:15,30.501159806666667,114.42530741,4
14:17:16,30.501115263333332,114.42530295333333,4
14:17:17,30.50107081333333,114.42529843666667,4
14:17:18,30.501026003333333,114.42529360166667,4
14:17:19,30.500981251666666,114.425287795,4
14:17:20,30.500936246666665,114.42528168833333,4
14:17:21,30.500890798333334,114.42527603,4
14:17:22,30.500845478333332,114.425271055,4
14:17:23,30.500800381666668,114.42526603166667,4
14:17:24,30.500755378333334,114.42526103833333,4
14:17:25,30.50071034,114.42525684,4
14:17:26,30.500661851666667,114.42525399666667,4
14:17:27,30.500608605,114.42524918333334,4
14:17:28,30.500551771666668,114.42524237333333,4
14:17:29,30.500494405,114.4252372,4
14:17:30,30.500438281666668,114.42523095,4
14:17:31,30.500384433333334,114.42522453666666,4
14:17:32,30.500330356666666,114.42522114666667,4
14:17:33,30.500276103333334,114.42521694,4
14:17:34,30.500222691666668,114.42521092333334,4
14:17:35,30.500170903333334,114.42520561166667,4
14:17:36,30.500121798333332,114.42520125166666,4
14:17:37,30.50007524,114.42519613333333,4
